,REGION,COD_BNA,NOMBRE,ESTADO,ESTE_84,NORTE_84,COD_CUEN,COD_SUBC,COD_SSUBC,NOM_SSUBC,NOM_CUEN,NOM_SUBC,CINE_REG,COD_REG,NOM_REG,CINE_PROV,COD_PROV,NOM_PROV,CINE_COM,COD_COM,NOM_COM
164,8,08394011-5,FARO PUNTA HUALPEN,Vigentes,661748,5931911,083,0839,08394,Rio Bio-Bio Entre Estero Hualqui y Desembocadura,Rio Bio-Bio,Rio Bio-Bio Bajo,08,8,Biobío,081,81,Concepción,08112,8112,Hualpén
165,8,08220005-3,LAS PATAGUAS,Vigentes,688053,5926081,082,0822,08220,Rio Andalien,Costeras e Islas entre Rio Itata y Rio Bio-Bio,Rio Andalien,08,8,Biobío,081,81,Concepción,08101,8101,Concepción
166,8,08220006-1,ANDALIEN,Vigentes,683839,5923886,082,0822,08220,Rio Andalien,Costeras e Islas entre Rio Itata y Rio Bio-Bio,Rio Andalien,08,8,Biobío,081,81,Concepción,08101,8101,Concepción
167,8,08220008-8,ESTERO NONGUEN FRENTE U. DEL BIO BIO,Vigentes,676919,5923237,082,0822,08220,Rio Andalien,Costeras e Islas entre Rio Itata y Rio Bio-Bio,Rio Andalien,08,8,Biobío,081,81,Concepción,08101,8101,Concepción
168,8,08394001-8,RIO BIOBIO EN DESEMBOCADURA,Vigentes,672852,5921362,083,0839,08394,Rio Bio-Bio Entre Estero Hualqui y Desembocadura,Rio Bio-Bio,Rio Bio-Bio Bajo,08,8,Biobío,081,81,Concepción,08101,8101,Concepción
169,8,08410001-3,CONCEPCION DGA.,Vigentes,669387,5921946,083,0839,08394,Rio Bio-Bio Entre Estero Hualqui y Desembocadura,Rio Bio-Bio,Rio Bio-Bio Bajo,08,8,Biobío,081,81,Concepción,08108,8108,San Pedro de la Paz
170,8,08132002-0,PEMUCO,Vigentes,758382,5903544,081,0813,08132,Rio Dinguillin Entre Estero Danguileo y Rio Itata,Rio Itata,Itata Medio,16,16,Ñuble,161,161,Diguillín,16105,16105,Pemuco
171,8,08393002-0,ESTERO HUALQUI EN DESEMBOCADURA,Vigentes,683220,5905083,083,0839,08393,Rio Bio-Bio Entre Estero Quilacoya y Bajo Estero Hualqui,Rio Bio-Bio,Rio Bio-Bio Bajo,08,8,Biobío,081,81,Concepción,08105,8105,Hualqui
172,8,08123004-8,CHOLGUAN,Vigentes,760416,5884014,081,0812,08123,Rio Itata Entre Rio Huepil y Bajo Estero Chillancito,Rio Itata,Rio Itata Alto (Hasta Rio Diguillin),16,16,Ñuble,161,161,Diguillín,16109,16109,Yungay
173,8,08124004-3,LAS CRUCES,Vigentes,254304,5889208,081,0812,08121,Estero Cholguan Entre Estero Villagran y Rio Huepil,Rio Itata,Rio Itata Alto (Hasta Rio Diguillin),16,16,Ñuble,161,161,Diguillín,16109,16109,Yungay
174,8,08372002-6,RIO POLCURA EN CUATRO JUNTA,Vigentes,300556,5890518,083,0837,08372,Rio Polcura Hasta Bajo Rio Vallecito (Cuatro Juntas),Rio Bio-Bio,Rio Laja Alto (hasta bajo junta Rio Rucue),08,8,Biobío,083,83,Bío-Bío,08302,8302,Antuco
175,8,08122003-4,TUCAPEL,Vigentes,238349,5868509,083,0838,08380,Rio Laja Entre Rio Rucue y Estero Alcapan,Rio Bio-Bio,Laja Bajo,08,8,Biobío,083,83,Bío-Bío,08312,8312,Tucapel
176,8,08122002-6,TRUPAN,Vigentes,249682,5870301,081,0812,08122,Rio Huepil,Rio Itata,Rio Itata Alto (Hasta Rio Diguillin),08,8,Biobío,083,83,Bío-Bío,08312,8312,Tucapel
177,8,08381003-3,RIO LAJA AG.ARR. DEL SALTO (REC.R.LAJA),Vigentes,737112,5878166,083,0838,08381,Rio Laja Entre Arriba Estero Alcapan y Rio Caliboro,Rio Bio-Bio,Laja Bajo,08,8,Biobío,083,83,Bío-Bío,08301,8301,Los Ángeles
178,8,08366002-3,ESTERO QUILQUE EN LOS ANGELES,Vigentes,736403,5851178,083,0836,08366,Rio Guaqui entre Rio Raninco y Rio Bio-Bio,Rio Bio-Bio,Rio Bio-Bio entre Rio Vergara y Rio Laja,08,8,Biobío,083,83,Bío-Bío,08301,8301,Los Ángeles
179,8,08364001-4,LAS ACHIRAS,Vigentes,733204,5859695,083,0836,08365,Rio Raninco,Rio Bio-Bio,Rio Bio-Bio entre Rio Vergara y Rio Laja,08,8,Biobío,083,83,Bío-Bío,08301,8301,Los Ángeles
180,8,08324002-4,ESTERO PAILLIHUE EN EX LONGITUDINAL SUR,Vigentes,736371,5848947,083,0832,08324,Rio Duqueco entre bajo Rio Coreo y Rio Bio-Bio,Rio Bio-Bio,Rio Duqueco,08,8,Biobío,083,83,Bío-Bío,08301,8301,Los Ángeles
181,8,08334002-9,LOS ANGELES,Vigentes,729097,5846266,083,0832,08324,Rio Duqueco entre bajo Rio Coreo y Rio Bio-Bio,Rio Bio-Bio,Rio Duqueco,08,8,Biobío,083,83,Bío-Bío,08301,8301,Los Ángeles
182,8,08319002-7,SAN CARLOS DE PUREN,Vigentes,740383,5835726,083,0831,08319,Rio Bio-Bio Entre Estero Pile (Calbuco) y Rio Duqueco,Rio Bio-Bio,Rio Bio-Bio entre Rio Ranquil y Rio Duqueco,08,8,Biobío,083,83,Bío-Bío,08301,8301,Los Ángeles
183,8,08323001-0,RIO DUQUECO EN CERRILLOS,Vigentes,737475,5841562,083,0831,08319,Rio Bio-Bio Entre Estero Pile (Calbuco) y Rio Duqueco,Rio Bio-Bio,Rio Bio-Bio entre Rio Ranquil y Rio Duqueco,08,8,Biobío,083,83,Bío-Bío,08301,8301,Los Ángeles
184,8,08320001-4,SAN LORENZO EN BIO-BIO,Vigentes,255359,5845172,083,0832,08321,Rio Duqueco Entre Estero Paulin y Bajo Estero Ca¤icura,Rio Bio-Bio,Rio Duqueco,08,8,Biobío,083,83,Bío-Bío,08309,8309,Quilleco
185,8,08367001-0,LAJA,Vigentes,702462,5871932,083,0836,08367,Rio Bio-Bio entre Rio Guaqui y Rio Laja,Rio Bio-Bio,Rio Bio-Bio entre Rio Vergara y Rio Laja,08,8,Biobío,083,83,Bío-Bío,08304,8304,Laja
186,13,05530005-4,ALGARROBO,Vigentes,256066,6296960,055,0553,05530,Estero del Rosario (Incl.) a Rio Maipo,Costeras entre Aconcagua y Maipo,E. del Rosario (Incl.) a R. Maipo,05,5,Valparaíso,056,56,San Antonio,05605,5605,El Tabo
187,13,05730013-2,ANTUPIREN,Vigentes,359149,6292612,057,0573,05730,Rio Mapocho Entre Estero de Las Rosas y Estero Lampa y Bajo Zanjon de la Aguada,Rio Maipo,Mapocho Bajo,13,13,Metropolitana de Santiago,131,131,Santiago,13122,13122,Peñalolén
188,13,05737008-4,FUNDO MARRUECOS,Vigentes,330811,6285653,057,0573,05737,Rio Mapocho entre Zanjon de la Aguada y Rio Maipo,Rio Maipo,Mapocho Bajo,13,13,Metropolitana de Santiago,136,136,Talagante,13604,13604,Padre Hurtado
189,13,05745001-0,MALLARAUCO,Vigentes,304935,6283364,057,0574,05745,Estero Puangue Entre Estero Amestica y Bajo Junta Estero de los Mayos,Rio Maipo,Rio Maipo Bajo (Entre Rio Mapocho y Desembocadura),13,13,Metropolitana de Santiago,135,135,Melipilla,13501,13501,Melipilla
190,13,05746001-6,ESTERO PUANGUE EN RUTA 78,Vigentes,283302,6272931,057,0574,05746,Estero Puangue Entre Estero de Los Mayos y Rio Maipo,Rio Maipo,Rio Maipo Bajo (Entre Rio Mapocho y Desembocadura),13,13,Metropolitana de Santiago,135,135,Melipilla,13501,13501,Melipilla
191,13,05740004-8,CARMEN DE LAS ROSAS,Vigentes,300173,6262366,057,0574,05740,Rio Maipo Entre Rio Mapocho y Estero Puangue,Rio Maipo,Rio Maipo Bajo (Entre Rio Mapocho y Desembocadura),13,13,Metropolitana de Santiago,135,135,Melipilla,13501,13501,Melipilla
192,13,05740005-6,MELIPILLA,Vigentes,296069,6271128,057,0574,05740,Rio Maipo Entre Rio Mapocho y Estero Puangue,Rio Maipo,Rio Maipo Bajo (Entre Rio Mapocho y Desembocadura),13,13,Metropolitana de Santiago,135,135,Melipilla,13501,13501,Melipilla
193,13,05747001-1,LOS GUINDOS,Vigentes,293453,6247706,057,0574,05747,Rio Maipo entre Estero Puangue y bajo junta Estero Popeta,Rio Maipo,Rio Maipo Bajo (Entre Rio Mapocho y Desembocadura),13,13,Metropolitana de Santiago,135,135,Melipilla,13501,13501,Melipilla
194,13,05530002-K,SAN ANTONIO (PTA. PANUL),Vigentes,256347,6281911,057,0574,05748,Rio Maipo Entre Estero Popeta y Desembocadura,Rio Maipo,Rio Maipo Bajo (Entre Rio Mapocho y Desembocadura),05,5,Valparaíso,056,56,San Antonio,05601,5601,San Antonio
195,13,05748001-7,RIO MAIPO EN CABIMBAO,Vigentes,265651,6260738,057,0574,05748,Rio Maipo Entre Estero Popeta y Desembocadura,Rio Maipo,Rio Maipo Bajo (Entre Rio Mapocho y Desembocadura),05,5,Valparaíso,056,56,San Antonio,05601,5601,San Antonio
196,13,05748003-3,CERRILLOS DE LEYDA,Vigentes,267151,6275551,057,0574,05748,Rio Maipo Entre Estero Popeta y Desembocadura,Rio Maipo,Rio Maipo Bajo (Entre Rio Mapocho y Desembocadura),05,5,Valparaíso,056,56,San Antonio,05601,5601,San Antonio
197,13,05744003-1,IBACACHE ALTO,Vigentes,288017,6293109,057,0574,05744,Estero Puangue Entre Estero Sin Nombre y Bajo Junta Estero Amestica,Rio Maipo,Rio Maipo Bajo (Entre Rio Mapocho y Desembocadura),13,13,Metropolitana de Santiago,135,135,Melipilla,13504,13504,María Pinto
198,13,05730008-6,QUEBRADA RAMON EN RECINTO EMOS,Vigentes,359226,6299663,057,0573,05730,Rio Mapocho Entre Estero de Las Rosas y Estero Lampa y Bajo Zanjon de la Aguada,Rio Maipo,Mapocho Bajo,13,13,Metropolitana de Santiago,131,131,Santiago,13114,13114,Las Condes
199,13,05730012-4,CERRO CALAN,Vigentes,357078,6303869,057,0573,05730,Rio Mapocho Entre Estero de Las Rosas y Estero Lampa y Bajo Zanjon de la Aguada,Rio Maipo,Mapocho Bajo,13,13,Metropolitana de Santiago,131,131,Santiago,13114,13114,Las Condes
200,1,01000005-K,VISVIRI,Vigentes,449416,8054572,010,0100,01000,"Rios Uchusuma, Colpas, Putani y Cosapilla",Altiplanicas,Entre Limite Peru-Bolivia y Rio Lauca,15,15,Arica y Parinacota,152,152,Parinacota,15202,15202,General Lagos
201,1,01200002-2,VILLA INDUSTRIAL (TACORA),Vigentes,423234,8034895,012,0120,01200,Rio Lluta bajo Rio Azufre,Rio Lluta,Rio Lluta Alto,15,15,Arica y Parinacota,152,152,Parinacota,15202,15202,General Lagos
202,1,01200003-0,HUMAPALCA,Vigentes,425418,8027904,012,0120,01200,Rio Lluta bajo Rio Azufre,Rio Lluta,Rio Lluta Alto,15,15,Arica y Parinacota,152,152,Parinacota,15202,15202,General Lagos
203,1,01201005-2,RIO CARACARANI EN HUMAPALCA,Vigentes,425138,8027538,012,0120,01200,Rio Lluta bajo Rio Azufre,Rio Lluta,Rio Lluta Alto,15,15,Arica y Parinacota,152,152,Parinacota,15202,15202,General Lagos
204,1,01201003-6,RIO LLUTA EN ALCERRECA,Vigentes,433023,8009292,012,0120,01201,Rio Lluta entre Rio Azufre y bajo Quebrada Huaylas,Rio Lluta,Rio Lluta Alto,15,15,Arica y Parinacota,152,152,Parinacota,15202,15202,General Lagos
205,1,01201010-9,ALCERRECA,Vigentes,430067,8010722,012,0120,01201,Rio Lluta entre Rio Azufre y bajo Quebrada Huaylas,Rio Lluta,Rio Lluta Alto,15,15,Arica y Parinacota,152,152,Parinacota,15202,15202,General Lagos
206,1,01201011-7,METEOROLOGICA DE COLPITAS,Vigentes,452082,8014925,012,0120,01201,Rio Lluta entre Rio Azufre y bajo Quebrada Huaylas,Rio Lluta,Rio Lluta Alto,15,15,Arica y Parinacota,152,152,Parinacota,15202,15202,General Lagos
207,1,01202012-0,PUTRE (DCP),Vigentes,440879,7988163,012,0120,01202,Rio Lluta entre Quebrada Huaylas y Quebrada de Socoroma,Rio Lluta,Rio Lluta Alto,15,15,Arica y Parinacota,152,152,Parinacota,15201,15201,Putre
208,1,01202013-9,QUEBRADA SOCOROMA,Vigentes,435895,7981378,012,0120,01202,Rio Lluta entre Quebrada Huaylas y Quebrada de Socoroma,Rio Lluta,Rio Lluta Alto,15,15,Arica y Parinacota,152,152,Parinacota,15201,15201,Putre
209,1,01001005-5,CAQUENA,Vigentes,478657,8003813,010,0100,01001,Rio Caquena hasta frontera (Rio Cosapilla),Altiplanicas,Entre Limite Peru-Bolivia y Rio Lauca,15,15,Arica y Parinacota,152,152,Parinacota,15201,15201,Putre
210,1,01020002-4,RIO DESAGUADERO COTACOTANI,Vigentes,472778,7988713,010,0102,01020,Rio Lauca antes Rio Guallatire,Altiplanicas,Rio Lauca,15,15,Arica y Parinacota,152,152,Parinacota,15201,15201,Putre
